"Klasea grandifolia","Klasea","","grandifolia",NA,NA,"","","gcc-32068",TRUE,"1.1","Accepted","Compositae","Klasea","","grandifolia","","","(P.H.Davis) Greuter & Wagenitz","gcc-32068","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea hastifolia","Klasea","","hastifolia",NA,NA,"","","gcc-130121",TRUE,"1.1","Unresolved","Compositae","Klasea","","hastifolia","","","(Korovin & Kult. ex Iljin) L.Martins","gcc-130121","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea khuzistanica","Klasea","","khuzistanica",NA,NA,"","","gcc-120796",TRUE,"1.1","Unresolved","Compositae","Klasea","","khuzistanica","","","(Mozaff.) Mozaff. ex Hidalgo","gcc-120796","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea kotschyi","Klasea","","kotschyi",NA,NA,"","","gcc-11231",TRUE,"1.1","Accepted","Compositae","Klasea","","kotschyi","","","(Boiss.) Greuter & Wagenitz","gcc-11231","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea lasiocephala","Klasea","","lasiocephala",NA,NA,"","","gcc-137262",TRUE,"1.1","Accepted","Compositae","Klasea","","lasiocephala","","","(Bornm.) Greuter & Wagenitz","gcc-137262","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea latifolia","Klasea","","latifolia",NA,NA,"","","gcc-2362",TRUE,"1.1","Unresolved","Compositae","Klasea","","latifolia","","","(Boiss.) L.Martins","gcc-2362","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea legionensis","Klasea","","legionensis",NA,NA,"","","gcc-26386",TRUE,"1.1","Accepted","Compositae","Klasea","","legionensis","","","(Lacaita) J.Holub","gcc-26386","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea leptoclada","Klasea","","leptoclada",NA,NA,"","","gcc-141633",TRUE,"1.1","Unresolved","Compositae","Klasea","","leptoclada","","","(Bornm. & Sint.) L.Martins","gcc-141633","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea lycopifolia","Klasea","","lycopifolia",NA,NA,"","","gcc-92142",TRUE,"1.1","Accepted","Compositae","Klasea","","lycopifolia","","","(Vill.) Á.Löve & D.Löve","gcc-92142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea lyratifolia","Klasea","","lyratifolia",NA,NA,"","","gcc-131010",TRUE,"1.1","Unresolved","Compositae","Klasea","","lyratifolia","","","(Schrenk) L.Martins","gcc-131010","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea marginata","Klasea","","marginata",NA,NA,"","","gcc-52848",TRUE,"1.1","Synonym","Compositae","Serratula","","marginata","","","Tausch","gcc-100155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea monardii","Klasea","","monardii",NA,NA,"","","gcc-117978",TRUE,"1.1","Unresolved","Compositae","Klasea","","monardii","","","(Dufour) Holub","gcc-117978","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea nudicaulis","Klasea","","nudicaulis",NA,NA,"","","gcc-47405",TRUE,"1.1","Accepted","Compositae","Klasea","","nudicaulis","","","(L.) Fourr.","gcc-47405","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea oligocephala","Klasea","","oligocephala",NA,NA,"","","gcc-98546",TRUE,"1.1","Accepted","Compositae","Klasea","","oligocephala","","","(DC.) Greuter & Wagenitz","gcc-98546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea pallida","Klasea","","pallida",NA,NA,"","","gcc-139652",TRUE,"1.1","Unresolved","Compositae","Klasea","","pallida","","","(DC.) Holub","gcc-139652","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea pinnatifida","Klasea","","pinnatifida",NA,NA,"","","gcc-19150",TRUE,"1.1","Accepted","Compositae","Klasea","","pinnatifida","","","(Cav.) Talavera","gcc-19150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea procumbens","Klasea","","procumbens",NA,NA,"","","gcc-24871",TRUE,"1.1","Synonym","Compositae","Serratula","","procumbens","","","Regel","gcc-112664","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea pusilla","Klasea","","pusilla",NA,NA,"","","gcc-43577",TRUE,"1.1","Accepted","Compositae","Klasea","","pusilla","","","(Labill.) Greuter & Wagenitz","gcc-43577","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea quinquefolia","Klasea","","quinquefolia",NA,NA,"","","gcc-95276",TRUE,"1.1","Accepted","Compositae","Klasea","","quinquefolia","","","(Willd.) Greuter & Wagenitz","gcc-95276","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea radiata","Klasea","","radiata",NA,NA,"","","gcc-127014",TRUE,"1.1","Accepted","Compositae","Klasea","","radiata","","","(Waldst. & Kit.) Á.Löve & D.Löve","gcc-127014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea serratuloides","Klasea","","serratuloides",NA,NA,"","","gcc-38056",TRUE,"1.1","Accepted","Compositae","Klasea","","serratuloides","","","(DC.) Greuter & Wagenitz","gcc-38056","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea sogdiana","Klasea","","sogdiana",NA,NA,"","","gcc-87513",TRUE,"1.1","Unresolved","Compositae","Klasea","","sogdiana","","","(Bunge) L.Martins","gcc-87513","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea suffruticulosa","Klasea","","suffruticulosa",NA,NA,"","","gcc-131792",TRUE,"1.1","Unresolved","Compositae","Klasea","","suffruticulosa","","","(Schrenk) L.Martins","gcc-131792","Unresolved",FALSE,FALSE,FALSE,2017-05-11
