"Phlomis bovei","Phlomis","","bovei",NA,NA,"","","kew-152144",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","bovei","","","Noë","kew-152144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis brevibracteata","Phlomis","","brevibracteata",NA,NA,"","","kew-152152",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","brevibracteata","","","Turrill","kew-152152","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis breviflora","Phlomis","","breviflora",NA,NA,"","","kew-152154",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","breviflora","","","(Benth.) Kamelin & Makhm.","kew-152521","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis bruguieri","Phlomis","","bruguieri",NA,NA,"","","kew-152156",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","bruguieri","","","Desf.","kew-152156","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis cancellata","Phlomis","","cancellata",NA,NA,"","","kew-152163",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","cancellata","","","Bunge","kew-152163","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis capitata","Phlomis","","capitata",NA,NA,"","","kew-152166",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","capitata","","","Boiss.","kew-152166","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis cashmeriana","Phlomis","","cashmeriana",NA,NA,"","","kew-152169",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","cashmeriana","","","Royle ex Benth.","kew-152169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis chrysophylla","Phlomis","","chrysophylla",NA,NA,"","","kew-152178",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","chrysophylla","","","Boiss.","kew-152178","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis composita","Phlomis","","composita",NA,NA,"","","kew-152185",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","×","composita","","","Pau","kew-152185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis cretica","Phlomis","","cretica",NA,NA,"","","kew-152193",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","cretica","","","C.Presl","kew-152193","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis crinita","Phlomis","","crinita",NA,NA,"","","kew-152194",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","crinita","","","Cav.","kew-152194","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis cypria","Phlomis","","cypria",NA,NA,"","","kew-152204",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","cypria","","","Post","kew-152204","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis elliptica","Phlomis","","elliptica",NA,NA,"","","kew-152219",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","elliptica","","","Benth.","kew-152219","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis floccosa","Phlomis","","floccosa",NA,NA,"","","kew-152232",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","floccosa","","","D.Don","kew-152232","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis franchetiana","Phlomis","","franchetiana",NA,NA,"","","kew-152235",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","franchetiana","","","(Diels) Kamelin & Makhm.","kew-152539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis grandiflora","Phlomis","","grandiflora",NA,NA,"","","kew-152248",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","grandiflora","","","H.S.Thomps.","kew-152248","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis herba","Phlomis","","herba",NA,NA,"","","kew-152257",TRUE,"1.1","Synonym","Lamiaceae","Leucas","","hirta","","","(B.Heyne ex Roth) Spreng.","kew-111731","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Phlomis italica","Phlomis","","italica",NA,NA,"","","kew-152268",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","italica","","","L.","kew-152268","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis jeholensis","Phlomis","","jeholensis",NA,NA,"","","kew-152272",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","jeholensis","","","(Nakai & Kitag.) Kamelin & Makhm.","kew-152554","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis lanata","Phlomis","","lanata",NA,NA,"","","kew-152285",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","lanata","","","Willd.","kew-152285","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis lanceolata","Phlomis","","lanceolata",NA,NA,"","","kew-152286",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","lanceolata","","","Boiss. & Hohen.","kew-152286","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis leucophracta","Phlomis","","leucophracta",NA,NA,"","","kew-152293",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","leucophracta","","","P.H.Davis & Hub.-Mor.","kew-152293","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis linearis","Phlomis","","linearis",NA,NA,"","","kew-152296",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","linearis","","","Boiss. & Balansa","kew-152296","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis longifolia","Phlomis","","longifolia",NA,NA,"","","kew-152299",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","longifolia","","","Boiss. & Blanche","kew-152299","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis lunariifolia","Phlomis","","lunariifolia",NA,NA,"","","kew-152301",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","lunariifolia","","","Sm.","kew-152301","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis lychnitis","Phlomis","","lychnitis",NA,NA,"","","kew-152303",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","lychnitis","","","L.","kew-152303","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis lycia","Phlomis","","lycia",NA,NA,"","","kew-152304",TRUE,"1.1","Accepted","Lamiaceae","Phlomis","","lycia","","","D.Don","kew-152304","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Phlomis macrophylla","Phlomis","","macrophylla",NA,NA,"","","kew-152305",TRUE,"1.1","Synonym","Lamiaceae","Phlomoides","","macrophylla","","","(Benth.) Kamelin & Makhm.","kew-152574","Accepted",FALSE,FALSE,FALSE,2017-05-11
