"Lithospermum cinerascens","Lithospermum","","cinerascens",NA,NA,"","","kew-2343706",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","cinerascens","","","(A.DC.) I.M.Johnst.","kew-2343706","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum cobrense","Lithospermum","","cobrense",NA,NA,"","","tro-4000981",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","cobrense","","","Greene","tro-4000981","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum cuzcoensis","Lithospermum","","cuzcoensis",NA,NA,"","","tro-100365170",TRUE,"1.1","Unresolved","Boraginaceae","Lithospermum","","cuzcoensis","","","Weigend & Nürk","tro-100365170","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum discolor","Lithospermum","","discolor",NA,NA,"","","tro-4000553",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","discolor","","","M. Martens & Galeotti","tro-4000553","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum environmental","Lithospermum","","environmental",NA,NA,"","","",FALSE,"1.1","","","Lithospermum","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum erythrorhizon","Lithospermum","","erythrorhizon",NA,NA,"","","kew-2343549",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","erythrorhizon","","","Siebold & Zucc.","kew-2343549","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum exsertum","Lithospermum","","exsertum",NA,NA,"","","tro-100353029",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","exsertum","","","(D. Don) J. Cohen","tro-100353029","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum flavum","Lithospermum","","flavum",NA,NA,"","","tro-50288080",TRUE,"1.1","Synonym","Boraginaceae","Macromeria","","longiflora","","","Sessé & Moc. ex D. Don","tro-50184081","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum hancockianum","Lithospermum","","hancockianum",NA,NA,"","","tro-4003196",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","hancockianum","","","Oliv.","tro-4003196","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum helleri","Lithospermum","","helleri",NA,NA,"","","tro-100353030",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","helleri","","","(Small) J. Cohen","tro-100353030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum johnstonii","Lithospermum","","johnstonii",NA,NA,"","","tro-100353032",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","johnstonii","","","J. Cohen","tro-100353032","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum leonotis","Lithospermum","","leonotis",NA,NA,"","","tro-100353033",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","leonotis","","","(I.M. Johnst.) J. Cohen","tro-100353033","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum longiflorum","Lithospermum","","longiflorum",NA,NA,"","","tro-50206150",TRUE,"1.1","Synonym","Boraginaceae","Macromeria","","longiflora","","","Sessé & Moc. ex D. Don","tro-50184081","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum macbridei","Lithospermum","","macbridei",NA,NA,"","","kew-2343296",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","macbridei","","","I.M.Johnst.","kew-2343296","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum matamorense","Lithospermum","","matamorense",NA,NA,"","","tro-4000558",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","matamorense","","","DC.","tro-4000558","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum mediale","Lithospermum","","mediale",NA,NA,"","","kew-2343320",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","mediale","","","I.M.Johnst.","kew-2343320","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum molle","Lithospermum","","molle",NA,NA,"","","kew-2343338",TRUE,"1.1","Unresolved","Boraginaceae","Lithospermum","","molle","","","Muhl.","kew-2343338","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum multiflorum","Lithospermum","","multiflorum",NA,NA,"","","tro-4000986",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","multiflorum","","","Torr. ex A. Gray","tro-4000986","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum nelsonii","Lithospermum","","nelsonii",NA,NA,"","","tro-50337827",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","nelsonii","","","Greenm.","tro-50337827","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum notatum","Lithospermum","","notatum",NA,NA,"","","tro-100353038",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","notatum","","","(I.M. Johnst.) J. Cohen","tro-100353038","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum oblongifolium","Lithospermum","","oblongifolium",NA,NA,"","","tro-4000560",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","oblongifolium","","","Greenm.","tro-4000560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum obovatum","Lithospermum","","obovatum",NA,NA,"","","tro-50101306",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","obovatum","","","J. Macbr.","tro-50101306","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum occidentale","Lithospermum","","occidentale",NA,NA,"","","tro-100376087",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","occidentale","","","(Mack.) Weakley, Witsell & D. Estes","tro-100376087","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum papillosum","Lithospermum","","papillosum",NA,NA,"","","tro-4001404",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","papillosum","","","Thunb.","tro-4001404","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum parksii","Lithospermum","","parksii",NA,NA,"","","tro-4000987",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","parksii","","","I.M. Johnst.","tro-4000987","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum peruvianum","Lithospermum","","peruvianum",NA,NA,"","","kew-2343513",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","peruvianum","","","DC.","kew-2343513","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum revolutum","Lithospermum","","revolutum",NA,NA,"","","tro-50182460",TRUE,"1.1","Synonym","Boraginaceae","Psilolaemus","","revolutus","","","(B.L. Rob.) I.M. Johnst.","tro-50182462","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum rodriguezii","Lithospermum","","rodriguezii",NA,NA,"","","kew-2900066",TRUE,"1.1","Unresolved","Boraginaceae","Lithospermum","","rodriguezii","","","Weigend & Nürk","kew-2900066","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lithospermum rosei","Lithospermum","","rosei",NA,NA,"","","tro-100353043",TRUE,"1.1","Accepted","Boraginaceae","Lithospermum","","rosei","","","(I.M. Johnst.) J. Cohen","tro-100353043","Accepted",FALSE,FALSE,FALSE,2017-05-11
