"Neocabreria malachophylla","Neocabreria","","malachophylla",NA,NA,"","","gcc-140788",TRUE,"1.1","Accepted","Compositae","Neocabreria","","malachophylla","","","(Klatt) R.M.King & H.Rob.","gcc-140788","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocabreria serrulata","Neocabreria","","serrulata",NA,NA,"","","gcc-132014",TRUE,"1.1","Accepted","Compositae","Neocabreria","","serrulata","","","(DC.) R.M.King & H.Rob.","gcc-132014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocallitropsis pancheri","Neocallitropsis","","pancheri",NA,NA,"","","kew-2379206",TRUE,"1.1","Accepted","Cupressaceae","Neocallitropsis","","pancheri","","","(Carrière) de Laub.","kew-2379206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocalyptrocalyx leprieurii","Neocalyptrocalyx","","leprieurii",NA,NA,"","","tro-50326942",TRUE,"1.1","Synonym","Capparaceae","Capparis","","leprieurii","","","Briq.","kew-2697300","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocalyptrocalyx morii","Neocalyptrocalyx","","morii",NA,NA,"","","kew-2896839",TRUE,"1.1","Unresolved","Capparaceae","Neocalyptrocalyx","","morii","","","Cornejo & Iltis","kew-2896839","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Neocarya macrophylla","Neocarya","","macrophylla",NA,NA,"","","kew-354888",TRUE,"1.1","Accepted","Chrysobalanaceae","Neocarya","","macrophylla","","","(Sabine) Prance ex F.White","kew-354888","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocheiropteris ensata","Neocheiropteris","","ensata",NA,NA,"","","tro-26600235",TRUE,"1.1","Accepted","Polypodiaceae","Neocheiropteris","","ensata","","","(Thunb.) Ching","tro-26600235","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocheiropteris palmatopedata","Neocheiropteris","","palmatopedata",NA,NA,"","","tro-26610917",TRUE,"1.1","Accepted","Polypodiaceae","Neocheiropteris","","palmatopedata","","","(Baker) Christ","tro-26610917","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocheiropteris subhastata","Neocheiropteris","","subhastata",NA,NA,"","","tro-26600236",TRUE,"1.1","Synonym","Polypodiaceae","Leptochilus","","buergerianus","","","(Miq.) Bosman","tro-50051418","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocheiropteris triglossa","Neocheiropteris","","triglossa",NA,NA,"","","tro-50059773",TRUE,"1.1","Accepted","Polypodiaceae","Neocheiropteris","","triglossa","","","(Baker) Ching","tro-50059773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neochevalierodendron stephanii","Neochevalierodendron","","stephanii",NA,NA,"","","ild-1625",TRUE,"1.1","Accepted","Leguminosae","Neochevalierodendron","","stephanii","","","(A.Chev.) J.Leonard","ild-1625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocinnamomum caudatum","Neocinnamomum","","caudatum",NA,NA,"","","tro-17804994",TRUE,"1.1","Accepted","Lauraceae","Neocinnamomum","","caudatum","","","(Nees) Merr.","tro-17804994","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocinnamomum delavayi","Neocinnamomum","","delavayi",NA,NA,"","","tro-17804999",TRUE,"1.1","Accepted","Lauraceae","Neocinnamomum","","delavayi","","","(Lecomte) H. Liu                ","tro-17804999","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocinnamomum fargesii","Neocinnamomum","","fargesii",NA,NA,"","","tro-17804997",TRUE,"1.1","Synonym","Lauraceae","Cinnamomum","","fargesii","","","Lecomte","kew-2721290","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocinnamomum lecomtei","Neocinnamomum","","lecomtei",NA,NA,"","","tro-17804996",TRUE,"1.1","Accepted","Lauraceae","Neocinnamomum","","lecomtei","","","H. Liu","tro-17804996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocinnamomum mekongense","Neocinnamomum","","mekongense",NA,NA,"","","tro-17804998",TRUE,"1.1","Accepted","Lauraceae","Neocinnamomum","","mekongense","","","(Hand.-Mazz.) Kosterm.                      ","tro-17804998","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocogniauxia hexaptera","Neocogniauxia","","hexaptera",NA,NA,"","","kew-133675",TRUE,"1.1","Accepted","Orchidaceae","Neocogniauxia","","hexaptera","","","(Cogn.) Schltr.","kew-133675","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Neocogniauxia monophylla","Neocogniauxia","","monophylla",NA,NA,"","","kew-133676",TRUE,"1.1","Accepted","Orchidaceae","Neocogniauxia","","monophylla","","","(Griseb.) Schltr.","kew-133676","Accepted",FALSE,FALSE,FALSE,2017-05-11
