"Zamia loddigesii","Zamia","","loddigesii",NA,NA,"","","kew-2469973",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","loddigesii","","","Miq.","kew-2469973","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia manicata","Zamia","","manicata",NA,NA,"","","kew-2469948",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","manicata","","","Linden ex Regel","kew-2469948","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia muricata","Zamia","","muricata",NA,NA,"","","kew-2469959",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","muricata","","","Willd.","kew-2469959","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia neurophyllidia","Zamia","","neurophyllidia",NA,NA,"","","kew-2469961",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","neurophyllidia","","","D.W.Stev.","kew-2469961","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia obliqua","Zamia","","obliqua",NA,NA,"","","kew-2469977",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","obliqua","","","A.Braun","kew-2469977","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia paucijuga","Zamia","","paucijuga",NA,NA,"","","kew-2872870",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","paucijuga","","","Wieland","kew-2872870","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia picta","Zamia","","picta",NA,NA,"","","kew-2470010",TRUE,"1.1","Synonym","Zamiaceae","Zamia","","variegata","","","Warsz.","kew-2469601","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia poeppigiana","Zamia","","poeppigiana",NA,NA,"","","kew-2470002",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","poeppigiana","","","Mart. & Eichler","kew-2470002","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia polymorpha","Zamia","","polymorpha",NA,NA,"","","kew-2469995",TRUE,"1.1","Synonym","Zamiaceae","Zamia","","prasina","","","W.Bull","kew-2470006","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia portoricensis","Zamia","","portoricensis",NA,NA,"","","kew-2470004",TRUE,"1.1","Synonym","Zamiaceae","Zamia","","pumila","","","L.","kew-2469988","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia prasina","Zamia","","prasina",NA,NA,"","","kew-2470006",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","prasina","","","W.Bull","kew-2470006","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia pseudomonticola","Zamia","","pseudomonticola",NA,NA,"","","kew-2470009",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","pseudomonticola","","","L.D.Gómez","kew-2470009","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia pseudoparasitica","Zamia","","pseudoparasitica",NA,NA,"","","kew-2470008",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","pseudoparasitica","","","J.Yates","kew-2470008","Accepted",FALSE,FALSE,FALSE,2017-05-12
"Zamia pumila","Zamia","","pumila",NA,NA,"","","kew-2469988",TRUE,"1.1","Accepted","Zamiaceae","Zamia","","pumila","","","L.","kew-2469988","Accepted",FALSE,FALSE,FALSE,2017-05-12
