"Diplasiolejeunea pellucida","Diplasiolejeunea","","pellucida",NA,NA,"","","tro-35187342",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","pellucida","","","(C. F. W. Meissn. ex Spreng.) Schiffner","tro-35187342","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea plicatiloba","Diplasiolejeunea","","plicatiloba",NA,NA,"","","tro-35211517",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","plicatiloba","","","(Hook. f. & Taylor) Grolle","tro-35211517","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea pluridentata","Diplasiolejeunea","","pluridentata",NA,NA,"","","tro-35209512",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","pluridentata","","","Schaf.-Verw.","tro-35209512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea pocsii","Diplasiolejeunea","","pocsii",NA,NA,"","","tro-35201854",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","pocsii","","","Reyes","tro-35201854","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea ranomafanae","Diplasiolejeunea","","ranomafanae",NA,NA,"","","tro-35216989",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","ranomafanae","","","Pocs","tro-35216989","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea replicata","Diplasiolejeunea","","replicata",NA,NA,"","","tro-35200033",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","replicata","","","(Spruce) Stephani","tro-35200033","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea rudolphiana","Diplasiolejeunea","","rudolphiana",NA,NA,"","","tro-35185080",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","rudolphiana","","","Stephani","tro-35185080","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea unidentata","Diplasiolejeunea","","unidentata",NA,NA,"","","tro-35187344",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","unidentata","","","(Lehm. & Lindenb.) Stephani","tro-35187344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea villaumei","Diplasiolejeunea","","villaumei",NA,NA,"","","tro-35215318",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","villaumei","","","Stephani","tro-35215318","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea zakiae","Diplasiolejeunea","","zakiae",NA,NA,"","","tro-35210963",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","zakiae","","","Tixier","tro-35210963","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplaspis cordifolia","Diplaspis","","cordifolia",NA,NA,"","","kew-2770941",TRUE,"1.1","Accepted","Apiaceae","Diplaspis","","cordifolia","","","(Hook.) Hook.f.","kew-2770941","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplaspis hydrocotyle","Diplaspis","","hydrocotyle",NA,NA,"","","kew-2770942",TRUE,"1.1","Accepted","Apiaceae","Diplaspis","","hydrocotylea","","","Hook.f.","kew-2770942","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Diplatia furcata","Diplatia","","furcata",NA,NA,"","","kew-2770947",TRUE,"1.1","Accepted","Loranthaceae","Diplatia","","furcata","","","Barlow","kew-2770947","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplatia grandibractea","Diplatia","","grandibractea",NA,NA,"","","kew-2770948",TRUE,"1.1","Accepted","Loranthaceae","Diplatia","","grandibractea","","","(F.Muell.) Tiegh.","kew-2770948","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplaziopsis brunoniana","Diplaziopsis","","brunoniana",NA,NA,"","","tro-50173965",TRUE,"1.1","Accepted","Diplaziopsidaceae","Diplaziopsis","","brunoniana","","","(Wall.) W.M. Chu","tro-50173965","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplaziopsis cavaleriana","Diplaziopsis","","cavaleriana",NA,NA,"","","tro-26618443",TRUE,"1.1","Accepted","Diplaziopsidaceae","Diplaziopsis","","cavaleriana","","","(Christ) C. Chr.","tro-26618443","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplaziopsis javanica","Diplaziopsis","","javanica",NA,NA,"","","tro-26600134",TRUE,"1.1","Accepted","Diplaziopsidaceae","Diplaziopsis","","javanica","","","(Blume) C. Chr.","tro-26600134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium acanthopus","Diplazium","","acanthopus",NA,NA,"","","ifn-55356",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","acanthopus","","","C.Chr.","ifn-55356","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium accedens","Diplazium","","accedens",NA,NA,"","","tro-26601175",TRUE,"1.1","Synonym","Athyriaceae","Athyrium","","accedens","","","(Blume) Milde","tro-26601174","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium alatum","Diplazium","","alatum",NA,NA,"","","",FALSE,"1.1","","","Diplazium","","alatum",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplazium amamianum","Diplazium","","amamianum",NA,NA,"","","tro-26611451",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","amamianum","","","Tagawa","tro-26611451","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium ambiguum","Diplazium","","ambiguum",NA,NA,"","","tro-26609771",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","ambiguum","","","Raddi","tro-26609771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium arborescens","Diplazium","","arborescens",NA,NA,"","","tro-26601162",TRUE,"1.1","Synonym","Athyriaceae","Athyrium","","arborescens","","","(Bory) Milde","tro-26601159","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium asperum","Diplazium","","asperum",NA,NA,"","","tro-26612636",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","aspera","","","(Blume) Ching","tro-26612734","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium assimile","Diplazium","","assimile",NA,NA,"","","tro-50338222",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","assimile","","","Bedd.","tro-50338222","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium australe","Diplazium","","australe",NA,NA,"","","tro-100361774",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","australe","","","(R. Br.) N.A. Wakef.","tro-100361774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium ballivianii","Diplazium","","ballivianii",NA,NA,"","","tro-50005653",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","ballivianii","","","Rosenst.","tro-50005653","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium bantamense","Diplazium","","bantamense",NA,NA,"","","tro-50221269",TRUE,"1.1","Synonym","Aspleniaceae","Asplenium","","bantamense","","","(Blume) Baker","tro-26623964","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium bellum","Diplazium","","bellum",NA,NA,"","","ifn-55452",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","bellum","","","Bir in Mehra & Bir","ifn-55452","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium bicolor","Diplazium","","bicolor",NA,NA,"","","tro-26612201",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","bicolor","","","Stolze","tro-26612201","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium caudatum","Diplazium","","caudatum",NA,NA,"","","tro-26610965",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","caudatum","","","Jermy","tro-26610965","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium cavalerianum","Diplazium","","cavalerianum",NA,NA,"","","tro-50173963",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","cavalerianum","","","(Christ) M. Kato","tro-50173963","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium celtidifolium","Diplazium","","celtidifolium",NA,NA,"","","tro-26609522",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","celtidifolium","","","Kunze","tro-26609522","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium chinense","Diplazium","","chinense",NA,NA,"","","tro-26611453",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","chinensis","","","(Baker) Ching","tro-26609712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium cordifolium","Diplazium","","cordifolium",NA,NA,"","","tro-50039861",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","cordifolium","","","Blume","tro-50039861","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium crassiusculum","Diplazium","","crassiusculum",NA,NA,"","","tro-26611454",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","crassiusculum","","","Ching","tro-26611454","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium cuneifolium","Diplazium","","cuneifolium",NA,NA,"","","tro-26612188",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","cuneifolium","","","Rosenst.","tro-26612188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium davaoense","Diplazium","","davaoense",NA,NA,"","","ifn-55592",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","davaoense","","","Copel.","ifn-55592","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium deciduum","Diplazium","","deciduum",NA,NA,"","","tro-50179206",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","deciduum","","","N.Ohta & M.Takamiya","tro-50179206","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium dilatatum","Diplazium","","dilatatum",NA,NA,"","","tro-26600135",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","dilatatum","","","Blume","tro-26600135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium diplazioides","Diplazium","","diplazioides",NA,NA,"","","tro-26607806",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","diplazioides","","","(Klotzsch & H. Karst.) Alston","tro-26607806","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium divergens","Diplazium","","divergens",NA,NA,"","","tro-26612210",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","divergens","","","Rosenst.","tro-26612210","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium doederleinii","Diplazium","","doederleinii",NA,NA,"","","tro-26611455",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","doederleinii","","","(Luerss.) Ching","tro-26622763","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium donianum","Diplazium","","donianum",NA,NA,"","","tro-26609097",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","donianum","","","(Mett.) Tardieu","tro-26609097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium echinatum","Diplazium","","echinatum",NA,NA,"","","tro-50169608",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","echinatum","","","C. Chr.","tro-50169608","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium esculentum","Diplazium","","esculentum",NA,NA,"","","tro-26602792",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","esculentum","","","(Retz.) Sw.","tro-26602792","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium expansum","Diplazium","","expansum",NA,NA,"","","tro-26602793",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","expansum","","","Willd.","tro-26602793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium fauriei","Diplazium","","fauriei",NA,NA,"","","tro-50173897",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","metteniana","var.","fauriei","(Christ) Ching","tro-26622831","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium fraxinifolium","Diplazium","","fraxinifolium",NA,NA,"","","ifn-55689",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","fraxinifolium","","","C.Presl","ifn-55689","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium giganteum","Diplazium","","giganteum",NA,NA,"","","tro-26622896",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","gigantea","","","(Baker) Ching","tro-26622903","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium grandifolium","Diplazium","","grandifolium",NA,NA,"","","tro-26602795",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","grandifolium","","","(Sw.) Sw.","tro-26602795","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium griffithii","Diplazium","","griffithii",NA,NA,"","","tro-26622837",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","griffithii","","","(T. Moore) Ching","tro-26622850","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium hainanense","Diplazium","","hainanense",NA,NA,"","","tro-26624679",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","hainanense","","","Ching","tro-26624679","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium hayatamae","Diplazium","","hayatamae",NA,NA,"","","tro-50179207",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","hayatamae","","","N.Ohta & M.Takamiya","tro-50179207","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium heterocarpum","Diplazium","","heterocarpum",NA,NA,"","","tro-26618450",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","heterocarpa","","","(Ching) Ching","tro-26622815","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium hians","Diplazium","","hians",NA,NA,"","","tro-26607144",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","hians","","","Kunze ex Klotzsch","tro-26607144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium himalayense","Diplazium","","himalayense",NA,NA,"","","ifn-55755",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","himalayense","","","Panigrahi","ifn-55755","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium hirtipes","Diplazium","","hirtipes",NA,NA,"","","tro-26622810",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","hirtipes","","","(Christ) Ching","tro-26622818","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium incomptum","Diplazium","","incomptum",NA,NA,"","","tro-26611460",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","incomptum","","","Tagawa","tro-26611460","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium kawakamii","Diplazium","","kawakamii",NA,NA,"","","tro-26600136",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","kawakamii","","","Hayata","tro-26600136","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium latifrons","Diplazium","","latifrons",NA,NA,"","","tro-100374816",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","latifrons","","","Alderw.","tro-100374816","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium laxifrons","Diplazium","","laxifrons",NA,NA,"","","tro-26622892",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","laxifrons","","","(Rosenst.) Ching","tro-26622901","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium leptocarpon","Diplazium","","leptocarpon",NA,NA,"","","ifn-55836",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","leptocarpon","","","F","ifn-55836","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium leptophyllum","Diplazium","","leptophyllum",NA,NA,"","","ifn-55843",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","leptophyllum","","","Christ","ifn-55843","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium lindbergii","Diplazium","","lindbergii",NA,NA,"","","tro-26607145",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","lindbergii","","","(Mett.) Christ","tro-26607145","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium lobatum","Diplazium","","lobatum",NA,NA,"","","tro-26611463",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","lobatum","","","(Tagawa) Tagawa","tro-26611463","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium lobbianum","Diplazium","","lobbianum",NA,NA,"","","tro-50177935",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","lobbianum","","","(Hook.) Moore","tro-50177935","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium lomariaceum","Diplazium","","lomariaceum",NA,NA,"","","tro-50240221",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","lomariaceum","","","(C. Chr.) M.G. Price","tro-50240221","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium lonchophyllum","Diplazium","","lonchophyllum",NA,NA,"","","tro-26602799",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","lonchophyllum","","","Kunze","tro-26602799","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium longicarpum","Diplazium","","longicarpum",NA,NA,"","","tro-26611465",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","longicarpum","","","Kodama","tro-26611465","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium longifolium","Diplazium","","longifolium",NA,NA,"","","tro-26622806",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","lobulosa","","","(Wall. ex Mett.) Ching","tro-26622805","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium macrodictyon","Diplazium","","macrodictyon",NA,NA,"","","tro-26617273",TRUE,"1.1","Synonym","Athyriaceae","Callipteris","","macrodictyon","","","(Baker) L. Pacheco & R.C. Moran","tro-50162732","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium macrophyllum","Diplazium","","macrophyllum",NA,NA,"","","tro-26606073",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","macrophyllum","","","Desv.","tro-26606073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium malaccense","Diplazium","","malaccense",NA,NA,"","","tro-50130492",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","malaccense","","","C. Presl","tro-50130492","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium matthewii","Diplazium","","matthewii",NA,NA,"","","tro-26618456",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","matthewii","","","(Copel.) C. Chr.","tro-26618456","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium maximum","Diplazium","","maximum",NA,NA,"","","tro-26618457",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","maxima","","","(D. Don) Ching","tro-26622865","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium megaphyllum","Diplazium","","megaphyllum",NA,NA,"","","tro-26618458",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","megaphylla","","","(Baker) Ching","tro-26622817","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium mettenianum","Diplazium","","mettenianum",NA,NA,"","","tro-26611466",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","metteniana","","","(Miq.) Ching","tro-26608997","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium multicaudatum","Diplazium","","multicaudatum",NA,NA,"","","",FALSE,"1.1","","","Diplazium","","multicaudatum",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplazium muricatum","Diplazium","","muricatum",NA,NA,"","","tro-26613640",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","muricatum","","","Alderw.","tro-26613640","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium mutilum","Diplazium","","mutilum",NA,NA,"","","tro-50188003",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","mutilum","","","Kunze","tro-50188003","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium nanchuanicum","Diplazium","","nanchuanicum",NA,NA,"","","",FALSE,"1.1","","","Diplazium","","nanchuanicum",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplazium nemorale","Diplazium","","nemorale",NA,NA,"","","tro-26615089",TRUE,"1.1","Accepted","Athyriaceae","Diplazium","","nemorale","","","(Baker) Schelpe","tro-26615089","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium okudairai","Diplazium","","okudairai",NA,NA,"","","tro-26611470",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","okudairai","","","(Makino) Ching","tro-26622800","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium ovatum","Diplazium","","ovatum",NA,NA,"","","",FALSE,"1.1","","","Diplazium","","ovatum",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplazium pallidum","Diplazium","","pallidum",NA,NA,"","","ifn-56015",TRUE,"1.1","Unresolved","Athyriaceae","Diplazium","","pallidum","","","T.Moore","ifn-56015","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplazium petelotii","Diplazium","","petelotii",NA,NA,"","","tro-26622856",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","petelotii","","","(Tardieu) Ching","tro-26622862","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplazium petrii","Diplazium","","petrii",NA,NA,"","","tro-26611471",TRUE,"1.1","Synonym","Athyriaceae","Allantodia","","petrii","","","(Tardieu) Ching","tro-26622863","Accepted",FALSE,FALSE,FALSE,2017-05-11
