"Batopilasia byei","Batopilasia","","byei",NA,NA,"","","gcc-8021",TRUE,"1.1","Accepted","Compositae","Batopilasia","","byei","","","(S.D.Sundb. & G.L.Nesom) G.L.Nesom & Noyes","gcc-8021","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batrachium foeniculaceum","Batrachium","","foeniculaceum",NA,NA,"","","kew-2671125",TRUE,"1.1","Unresolved","Ranunculaceae","Batrachium","","foeniculaceum","","","(Gilib.) Krecz.","kew-2671125","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Batrachium pekinense","Batrachium","","pekinense",NA,NA,"","","kew-2671171",TRUE,"1.1","Unresolved","Ranunculaceae","Batrachium","","pekinense","","","L.Liou","kew-2671171","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Battandiera amoena","Battandiera","","amoena",NA,NA,"","","kew-300323",TRUE,"1.1","Synonym","Asparagaceae","Albuca","","amoena","","","(Batt.) J.C.Manning & Goldblatt","kew-456148","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Baudouinia fluggeiformis","Baudouinia","","fluggeiformis",NA,NA,"","","ild-42358",TRUE,"1.1","Accepted","Leguminosae","Baudouinia","","fluggeiformis","","","Baill.","ild-42358","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Baudouinia rouxevillei","Baudouinia","","rouxevillei",NA,NA,"","","ild-42363",TRUE,"1.1","Accepted","Leguminosae","Baudouinia","","rouxevillei","","","H.Perrier","ild-42363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Baudouinia sollyaeformis","Baudouinia","","sollyaeformis",NA,NA,"","","ild-39666",TRUE,"1.1","Accepted","Leguminosae","Baudouinia","","sollyaeformis","","","Baill.","ild-39666","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bauera rubioides","Bauera","","rubioides",NA,NA,"","","kew-2671258",TRUE,"1.1","Accepted","Cunoniaceae","Bauera","","rubioides","","","Andrews","kew-2671258","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bauera sessiliflora","Bauera","","sessiliflora",NA,NA,"","","kew-2671263",TRUE,"1.1","Accepted","Cunoniaceae","Bauera","","sessiliflora","","","F.Muell.","kew-2671263","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bauhinia acreana","Bauhinia","","acreana",NA,NA,"","","ild-10304",TRUE,"1.1","Accepted","Leguminosae","Bauhinia","","acreana","","","Harms","ild-10304","Accepted",FALSE,FALSE,FALSE,2017-05-11
