"Polytrichadelphus umbrosus","Polytrichadelphus","","umbrosus",NA,NA,"","","tro-35125134",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichadelphus","","umbrosus","","","Mitt.","tro-35125134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum alpinum","Polytrichastrum","","alpinum",NA,NA,"","","tro-35169087",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","alpinum","","","(Hedw.) G.L. Sm.","tro-35169087","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum altaicum","Polytrichastrum","","altaicum",NA,NA,"","","tro-35190475",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","altaicum","","","Ignatov & G.L. Merr.","tro-35190475","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum appalachianum","Polytrichastrum","","appalachianum",NA,NA,"","","tro-35186496",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","appalachianum","","","(L.E. Anderson) G.L. Merr.","tro-35186496","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum emodi","Polytrichastrum","","emodi",NA,NA,"","","tro-35141012",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","emodi","","","G.L. Sm.","tro-35141012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum fragile","Polytrichastrum","","fragile",NA,NA,"","","tro-35100266",TRUE,"1.1","Synonym","Polytrichaceae","Polytrichastrum","","alpinum","","","(Hedw.) G.L. Sm.","tro-35169087","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum norwegicum","Polytrichastrum","","norwegicum",NA,NA,"","","tro-35100269",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","norwegicum","","","(Hedw.) Schljakov","tro-35100269","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum ohioense","Polytrichastrum","","ohioense",NA,NA,"","","tro-35169092",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","ohioense","","","(Renauld & Cardot) G.L. Sm.","tro-35169092","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum papillatum","Polytrichastrum","","papillatum",NA,NA,"","","tro-35141013",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","papillatum","","","G.L. Sm.","tro-35141013","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum septentrionale","Polytrichastrum","","septentrionale",NA,NA,"","","",FALSE,"1.1","","","Polytrichastrum","","septentrionale",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum sexangulare","Polytrichastrum","","sexangulare",NA,NA,"","","tro-35169094",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","sexangulare","","","(Flörke ex Brid.) G.L. Sm.","tro-35169094","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum sphaerothecium","Polytrichastrum","","sphaerothecium",NA,NA,"","","tro-35204845",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","sphaerothecium","","","(Besch.) J.-P. Frahm","tro-35204845","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum tenellum","Polytrichastrum","","tenellum",NA,NA,"","","tro-35141014",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","tenellum","","","(Müll. Hal.) G.L. Sm.","tro-35141014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum torquatum","Polytrichastrum","","torquatum",NA,NA,"","","tro-35141015",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","torquatum","","","Mitt. ex Osada & G.L. Sm.","tro-35141015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Polytrichastrum xanthopilum","Polytrichastrum","","xanthopilum",NA,NA,"","","tro-35169095",TRUE,"1.1","Accepted","Polytrichaceae","Polytrichastrum","","xanthopilum","","","(Wilson ex Mitt.) G.L. Sm.","tro-35169095","Accepted",FALSE,FALSE,FALSE,2017-05-11
