"Myriophyllum laxum","Myriophyllum","","laxum",NA,NA,"","","tro-15000048",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","laxum","","","Shuttlew. ex Chapm.","tro-15000048","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum limnophilum","Myriophyllum","","limnophilum",NA,NA,"","","kew-2366515",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","limnophilum","","","Orchard","kew-2366515","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum lophatum","Myriophyllum","","lophatum",NA,NA,"","","kew-2366527",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","lophatum","","","Orchard","kew-2366527","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum mattogrossense","Myriophyllum","","mattogrossense",NA,NA,"","","kew-2366546",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","mattogrossense","","","Hoehne","kew-2366546","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum muricatum","Myriophyllum","","muricatum",NA,NA,"","","kew-2366551",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","muricatum","","","Orchard","kew-2366551","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum oguraense","Myriophyllum","","oguraense",NA,NA,"","","tro-50309361",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","oguraense","","","Miki","tro-50309361","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum papillosum","Myriophyllum","","papillosum",NA,NA,"","","kew-2366557",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","papillosum","","","Orchard","kew-2366557","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum pedunculatum","Myriophyllum","","pedunculatum",NA,NA,"","","kew-2366552",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","pedunculatum","","","Hook.f.","kew-2366552","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum petraeum","Myriophyllum","","petraeum",NA,NA,"","","kew-2366531",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","petraeum","","","Orchard","kew-2366531","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum pinnatum","Myriophyllum","","pinnatum",NA,NA,"","","kew-2366533",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","pinnatum","","","(Walter) Britton, Sterns & Poggenb.","kew-2366533","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum propinquum","Myriophyllum","","propinquum",NA,NA,"","","tro-50269599",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","propinquum","","","A. Cunn.","tro-50269599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum quitense","Myriophyllum","","quitense",NA,NA,"","","kew-2366539",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","quitense","","","Kunth","kew-2366539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum robustum","Myriophyllum","","robustum",NA,NA,"","","kew-2366540",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","robustum","","","Hook.f.","kew-2366540","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum salsugineum","Myriophyllum","","salsugineum",NA,NA,"","","tro-50249303",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","salsugineum","","","Orchard","tro-50249303","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum sibiricum","Myriophyllum","","sibiricum",NA,NA,"","","tro-15000127",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","sibiricum","","","Kom.","tro-15000127","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum simulans","Myriophyllum","","simulans",NA,NA,"","","kew-2366677",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","simulans","","","Orchard","kew-2366677","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum spicatum","Myriophyllum","","spicatum",NA,NA,"","","kew-2366673",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","spicatum","","","L.","kew-2366673","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum tenellum","Myriophyllum","","tenellum",NA,NA,"","","tro-15000010",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","tenellum","","","Bigelow","tro-15000010","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum tillaeoides","Myriophyllum","","tillaeoides",NA,NA,"","","kew-2366682",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","tillaeoides","","","Diels","kew-2366682","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum trachycarpum","Myriophyllum","","trachycarpum",NA,NA,"","","kew-2366659",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","trachycarpum","","","F.Muell.","kew-2366659","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum triphyllum","Myriophyllum","","triphyllum",NA,NA,"","","kew-2366660",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","triphyllum","","","Orchard","kew-2366660","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum tuberculatum","Myriophyllum","","tuberculatum",NA,NA,"","","tro-50198797",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","tuberculatum","","","Roxb.","tro-50198797","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum ussuriense","Myriophyllum","","ussuriense",NA,NA,"","","kew-2366663",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","ussuriense","","","Maxim.","kew-2366663","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum variifolium","Myriophyllum","","variifolium",NA,NA,"","","kew-2366672",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","variifolium","","","Hook.f.","kew-2366672","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum verrucosum","Myriophyllum","","verrucosum",NA,NA,"","","kew-2366665",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","verrucosum","","","Lindl.","kew-2366665","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum verticillatum","Myriophyllum","","verticillatum",NA,NA,"","","kew-2366658",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","verticillatum","","","L.","kew-2366658","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum votschii","Myriophyllum","","votschii",NA,NA,"","","kew-2366668",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","votschii","","","Schindl.","kew-2366668","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris aemula","Myriopteris","","aemula",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","aemula",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris alabamensis","Myriopteris","","alabamensis",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","alabamensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris allosuroides","Myriopteris","","allosuroides",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","allosuroides",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris aurea","Myriopteris","","aurea",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","aurea",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris chipinquensis","Myriopteris","","chipinquensis",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","chipinquensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris clevelandii","Myriopteris","","clevelandii",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","clevelandii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris cooperae","Myriopteris","","cooperae",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","cooperae",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris covillei","Myriopteris","","covillei",NA,NA,"","","tro-26610694",TRUE,"1.1","Accepted","Pteridaceae","Myriopteris","","covillei","","","(Maxon) Á. Löve & D. Löve","tro-26610694","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris cucullans","Myriopteris","","cucullans",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","cucullans",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris fendleri","Myriopteris","","fendleri",NA,NA,"","","tro-26610691",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","fendleri","","","Hook.","tro-26602732","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris fimbriata","Myriopteris","","fimbriata",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","fimbriata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris gracilis","Myriopteris","","gracilis",NA,NA,"","","tro-26603140",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","feei","","","T. Moore","tro-26602731","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris gracillima","Myriopteris","","gracillima",NA,NA,"","","tro-26603141",TRUE,"1.1","Synonym","Pteridaceae","Allosorus","","gracillimus","","","(D.C. Eaton) Farw.","tro-26603143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris intertexta","Myriopteris","","intertexta",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","intertexta",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris jamaicensis","Myriopteris","","jamaicensis",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","jamaicensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris lanosa","Myriopteris","","lanosa",NA,NA,"","","tro-26616885",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","lendigera","","","(Cav.) Sw.","tro-26602739","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Myriopteris lendigera","Myriopteris","","lendigera",NA,NA,"","","tro-26613874",TRUE,"1.1","Synonym","Pteridaceae","Allosorus","","lendigera","","","(Cav.) Farw.","tro-26613873","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris longipila","Myriopteris","","longipila",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","longipila",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris marsupianthes","Myriopteris","","marsupianthes",NA,NA,"","","tro-26616884",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","lendigera","","","(Cav.) Sw.","tro-26602739","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris mexicana","Myriopteris","","mexicana",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","mexicana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris mickelii","Myriopteris","","mickelii",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","mickelii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris microphylla","Myriopteris","","microphylla",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","microphylla",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris moritziana","Myriopteris","","moritziana",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","moritziana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris notholaenoides","Myriopteris","","notholaenoides",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","notholaenoides",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris parryi","Myriopteris","","parryi",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","parryi",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris peninsularis","Myriopteris","","peninsularis",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","peninsularis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris pringlei","Myriopteris","","pringlei",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","pringlei",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris rawsonii","Myriopteris","","rawsonii",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","rawsonii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris rufa","Myriopteris","","rufa",NA,NA,"","","tro-50210621",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","eatonii","","","Baker","tro-26602730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris scabra","Myriopteris","","scabra",NA,NA,"","","tro-50210641",TRUE,"1.1","Accepted","Pteridaceae","Myriopteris","","scariosa","","","(Sw.) Fée","tro-50210641","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Myriopteris tomentosa","Myriopteris","","tomentosa",NA,NA,"","","tro-26603765",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","tomentosa","","","Link","tro-26602745","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris viscida","Myriopteris","","viscida",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","viscida",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris windhamii","Myriopteris","","windhamii",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","windhamii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris wrightii","Myriopteris","","wrightii",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","wrightii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris yatskievychiana","Myriopteris","","yatskievychiana",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","yatskievychiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteris yavapensis","Myriopteris","","yavapensis",NA,NA,"","","",FALSE,"1.1","","","Myriopteris","","yavapensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriopteron extensum","Myriopteron","","extensum",NA,NA,"","","tro-2610791",TRUE,"1.1","Accepted","Apocynaceae","Myriopteron","","extensum","","","(Wight & Arn.) K. Schum.","tro-2610791","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriostachya wightiana","Myriostachya","","wightiana",NA,NA,"","","kew-425383",TRUE,"1.1","Accepted","Poaceae","Myriostachya","","wightiana","","","(Nees ex Steud.) Hook.f.","kew-425383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myripnois dioica","Myripnois","","dioica",NA,NA,"","","gcc-94326",TRUE,"1.1","Accepted","Compositae","Myripnois","","dioica","","","Bunge","gcc-94326","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myristica andamanica","Myristica","","andamanica",NA,NA,"","","kew-2500532",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","andamanica","","","Hook.f.","kew-2500532","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica beddomei","Myristica","","beddomei",NA,NA,"","","kew-2500557",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","beddomei","","","King","kew-2500557","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristicaceae environmental","Myristicaceae","","environmental",NA,NA,"","","",FALSE,"1.1","","","Myristicaceae","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myristica cinnamomea","Myristica","","cinnamomea",NA,NA,"","","kew-2501745",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","cinnamomea","","","King","kew-2501745","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica elliptica","Myristica","","elliptica",NA,NA,"","","kew-2500756",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","elliptica","","","Wall.","kew-2500756","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica fatua","Myristica","","fatua",NA,NA,"","","tro-50177579",TRUE,"1.1","Synonym","Myristicaceae","Virola","","surinamensis","","","(Rol. ex Rottb.) Warb.","kew-2451940","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myristica fragrans","Myristica","","fragrans",NA,NA,"","","kew-2500629",TRUE,"1.1","Accepted","Myristicaceae","Myristica","","fragrans","","","Houtt.","kew-2500629","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myristica globosa","Myristica","","globosa",NA,NA,"","","kew-2500650",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","globosa","","","Warb.","kew-2500650","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica hollrungii","Myristica","","hollrungii",NA,NA,"","","kew-2501102",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","hollrungii","","","Warb.","kew-2501102","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica iners","Myristica","","iners",NA,NA,"","","kew-2501141",TRUE,"1.1","Accepted","Myristicaceae","Myristica","","iners","","","Blume","kew-2501141","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myristica maingayi","Myristica","","maingayi",NA,NA,"","","kew-2501195",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","maingayi","","","Hook.f.","kew-2501195","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica malabarica","Myristica","","malabarica",NA,NA,"","","kew-2501193",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","malabarica","","","Lam.","kew-2501193","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica markgraviana","Myristica","","markgraviana",NA,NA,"","","kew-2501232",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","markgraviana","","","A.C.Sm.","kew-2501232","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica maxima","Myristica","","maxima",NA,NA,"","","kew-2501230",TRUE,"1.1","Unresolved","Myristicaceae","Myristica","","maxima","","","Warb.","kew-2501230","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myristica yunnanensis","Myristica","","yunnanensis",NA,NA,"","","tro-21800285",TRUE,"1.1","Accepted","Myristicaceae","Myristica","","yunnanensis","","","Y.H. Li","tro-21800285","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmechis gracilis","Myrmechis","","gracilis",NA,NA,"","","kew-131943",TRUE,"1.1","Accepted","Orchidaceae","Myrmechis","","gracilis","","","(Blume) Blume","kew-131943","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmechis philippinensis","Myrmechis","","philippinensis",NA,NA,"","","kew-131949",TRUE,"1.1","Accepted","Orchidaceae","Myrmechis","","philippinensiis","","","Ames","kew-131949","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Myrmechis pumila","Myrmechis","","pumila",NA,NA,"","","kew-131950",TRUE,"1.1","Accepted","Orchidaceae","Myrmechis","","pumila","","","(Hook.f.) Tang & F.T.Wang","kew-131950","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia albertisii","Myrmecodia","","albertisii",NA,NA,"","","kew-131958",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","albertisii","","","Becc.","kew-131958","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia armata","Myrmecodia","","armata",NA,NA,"","","kew-131967",TRUE,"1.1","Synonym","Rubiaceae","Myrmecodia","","tuberosa","","","Jack","kew-132026","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia aureospina","Myrmecodia","","aureospina",NA,NA,"","","kew-131969",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","aureospina","","","Huxley & Jebb","kew-131969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia beccarii","Myrmecodia","","beccarii",NA,NA,"","","kew-131970",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","beccarii","","","Hook.f.","kew-131970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia dahlii","Myrmecodia","","dahlii",NA,NA,"","","kew-131973",TRUE,"1.1","Synonym","Rubiaceae","Myrmecodia","","tuberosa","","","Jack","kew-132026","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia ferox","Myrmecodia","","ferox",NA,NA,"","","kew-131978",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","ferox","","","Huxley & Jebb","kew-131978","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia gracilispina","Myrmecodia","","gracilispina",NA,NA,"","","kew-131981",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","gracilispina","","","Huxley & Jebb","kew-131981","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia horrida","Myrmecodia","","horrida",NA,NA,"","","kew-131983",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","horrida","","","Huxley & Jebb","kew-131983","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia jobiensis","Myrmecodia","","jobiensis",NA,NA,"","","kew-131987",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","jobiensis","","","Becc.","kew-131987","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia longifolia","Myrmecodia","","longifolia",NA,NA,"","","kew-131992",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","longifolia","","","Valeton","kew-131992","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia melanacantha","Myrmecodia","","melanacantha",NA,NA,"","","kew-131995",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","melanacantha","","","Huxley & Jebb","kew-131995","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia pendens","Myrmecodia","","pendens",NA,NA,"","","kew-132004",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","pendens","","","Merr. & L.M.Perry","kew-132004","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia platyrea","Myrmecodia","","platyrea",NA,NA,"","","kew-132007",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","platyrea","","","Becc.","kew-132007","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia pteroaspida","Myrmecodia","","pteroaspida",NA,NA,"","","kew-132012",TRUE,"1.1","Accepted","Rubiaceae","Myrmecodia","","pteroaspida","","","Huxley & Jebb","kew-132012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myrmecodia salomonensis","Myrmecodia","","salomonensis",NA,NA,"","","kew-132015",TRUE,"1.1","Synonym","Rubiaceae","Myrmecodia","","tuberosa","","","Jack","kew-132026","Accepted",FALSE,FALSE,FALSE,2017-05-11
