"Ceratolejeunea grandiloba","Ceratolejeunea","","grandiloba",NA,NA,"","","tro-100366864",TRUE,"1.1","Unresolved","Lejeuneaceae","Ceratolejeunea","","grandiloba","","","J.B. Jack & Steph.","tro-100366864","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Ceratolejeunea laetefusca","Ceratolejeunea","","laetefusca",NA,NA,"","","tro-35184972",TRUE,"1.1","Accepted","Lejeuneaceae","Ceratolejeunea","","laete-fusca","","","(Austin) R.M. Schust.","tro-35184972","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Ceratolejeunea minuta","Ceratolejeunea","","minuta",NA,NA,"","","tro-35214062",TRUE,"1.1","Accepted","Lejeuneaceae","Ceratolejeunea","","minuta","","","G. Dauphin","tro-35214062","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolimon feei","Ceratolimon","","feei",NA,NA,"","","kew-2711125",TRUE,"1.1","Accepted","Plumbaginaceae","Ceratolimon","","feei","","","(Girard) M.B.Crespo & Lledó","kew-2711125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolimon rechingeri","Ceratolimon","","rechingeri",NA,NA,"","","kew-2711128",TRUE,"1.1","Synonym","Plumbaginaceae","Ceratolimon","","migiurtinum","","","(Chiov.) M.B.Crespo & Lledó","kew-2711127","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolimon weygandiorum","Ceratolimon","","weygandiorum",NA,NA,"","","kew-2711129",TRUE,"1.1","Accepted","Plumbaginaceae","Ceratolimon","","weygandiorum","","","(Maire & Wilczek) M.B.Crespo & Lledó","kew-2711129","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolobus concolor","Ceratolobus","","concolor",NA,NA,"","","kew-36862",TRUE,"1.1","Accepted","Arecaceae","Ceratolobus","","concolor","","","Blume","kew-36862","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolobus pseudoconcolor","Ceratolobus","","pseudoconcolor",NA,NA,"","","kew-36878",TRUE,"1.1","Accepted","Arecaceae","Ceratolobus","","pseudoconcolor","","","J.Dransf.","kew-36878","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratolobus subangulatus","Ceratolobus","","subangulatus",NA,NA,"","","kew-36880",TRUE,"1.1","Accepted","Arecaceae","Ceratolobus","","subangulatus","","","(Miq.) Becc.","kew-36880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratonia oreothauma","Ceratonia","","oreothauma",NA,NA,"","","ild-1155",TRUE,"1.1","Accepted","Leguminosae","Ceratonia","","oreothauma","","","Hillc. & al.","ild-1155","Accepted",FALSE,FALSE,FALSE,2017-05-11
