"Conchopetalum brachysepalum","Conchopetalum","","brachysepalum",NA,NA,"","","kew-2733950",TRUE,"1.1","Accepted","Sapindaceae","Conchopetalum","","brachysepalum","","","Capuron","kew-2733950","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condalia henriquezii","Condalia","","henriquezii",NA,NA,"","","kew-2733978",TRUE,"1.1","Accepted","Rhamnaceae","Condalia","","henriquezii","","","Bold.","kew-2733978","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condalia mexicana","Condalia","","mexicana",NA,NA,"","","kew-2733994",TRUE,"1.1","Accepted","Rhamnaceae","Condalia","","mexicana","","","Schltdl.","kew-2733994","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condalia microphylla","Condalia","","microphylla",NA,NA,"","","kew-2733996",TRUE,"1.1","Accepted","Rhamnaceae","Condalia","","microphylla","","","Cav.","kew-2733996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condalia velutina","Condalia","","velutina",NA,NA,"","","kew-2734019",TRUE,"1.1","Accepted","Rhamnaceae","Condalia","","velutina","","","I.M.Johnst.","kew-2734019","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condaminea corymbosa","Condaminea","","corymbosa",NA,NA,"","","kew-46498",TRUE,"1.1","Accepted","Rubiaceae","Condaminea","","corymbosa","","","(Ruiz & Pav.) DC.","kew-46498","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylocarpon amazonicum","Condylocarpon","","amazonicum",NA,NA,"","","kew-46512",TRUE,"1.1","Accepted","Apocynaceae","Condylocarpon","","amazonicum","","","(Markgr.) Ducke","kew-46512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylocarpon guyanense","Condylocarpon","","guyanense",NA,NA,"","","kew-46518",TRUE,"1.1","Accepted","Apocynaceae","Condylocarpon","","guyanense","","","Desf.","kew-46518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylocarpon isthmicum","Condylocarpon","","isthmicum",NA,NA,"","","kew-46523",TRUE,"1.1","Accepted","Apocynaceae","Condylocarpon","","isthmicum","","","(Vell.) A.DC.","kew-46523","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylostylis candida","Condylostylis","","candida",NA,NA,"","","tro-100375549",TRUE,"1.1","Accepted","Leguminosae","Condylostylis","","candida","","","(Vell.) A. Delgado","tro-100375549","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylostylis latidenticulata","Condylostylis","","latidenticulata",NA,NA,"","","tro-100375550",TRUE,"1.1","Accepted","Leguminosae","Condylostylis","","latidenticulata","","","(Harms) A. Delgado","tro-100375550","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Condylostylis venusta","Condylostylis","","venusta",NA,NA,"","","ild-24146",TRUE,"1.1","Synonym","Leguminosae","Vigna","","venusta","","","(Piper) Marechal & al.","ild-21581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Congea griffithiana","Congea","","griffithiana",NA,NA,"","","kew-46543",TRUE,"1.1","Accepted","Lamiaceae","Congea","","griffithiana","","","Munir","kew-46543","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Congea tomentosa","Congea","","tomentosa",NA,NA,"","","kew-46556",TRUE,"1.1","Accepted","Lamiaceae","Congea","","tomentosa","","","Roxb.","kew-46556","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conicosia elongata","Conicosia","","elongata",NA,NA,"","","kew-2734073",TRUE,"1.1","Accepted","Aizoaceae","Conicosia","","elongata","","","(Haw.) Schwantes","kew-2734073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conicosia pugioniformis","Conicosia","","pugioniformis",NA,NA,"","","kew-2734076",TRUE,"1.1","Accepted","Aizoaceae","Conicosia","","pugioniformis","","","(L.) N.E.Br.","kew-2734076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conimitella williamsii","Conimitella","","williamsii",NA,NA,"","","kew-2734085",TRUE,"1.1","Accepted","Saxifragaceae","Conimitella","","williamsii","","","(D.C.Eaton) Rydb.","kew-2734085","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme affinis","Coniogramme","","affinis",NA,NA,"","","tro-26613573",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","affinis","","","Hieron.","tro-26613573","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme centrochinensis","Coniogramme","","centrochinensis",NA,NA,"","","tro-26620199",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","centrochinensis","","","Ching","tro-26620199","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme falcipinna","Coniogramme","","falcipinna",NA,NA,"","","tro-26620150",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","falcipinna","","","Ching & K.H. Shing","tro-26620150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme fraxinea","Coniogramme","","fraxinea",NA,NA,"","","tro-26612622",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","fraxinea","","","(D. Don) Fée ex Diels","tro-26612622","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme gracilis","Coniogramme","","gracilis",NA,NA,"","","tro-26611317",TRUE,"1.1","Synonym","Pteridaceae","Coniogramme","","japonica","","","(Thunb.) Diels","tro-26608996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme intermedia","Coniogramme","","intermedia",NA,NA,"","","tro-26611310",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","intermedia","","","Hieron.","tro-26611310","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme japonica","Coniogramme","","japonica",NA,NA,"","","tro-26608996",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","japonica","","","(Thunb.) Diels","tro-26608996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coniogramme wilsonii","Coniogramme","","wilsonii",NA,NA,"","","tro-26618362",TRUE,"1.1","Accepted","Pteridaceae","Coniogramme","","wilsonii","","","Hieron.","tro-26618362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conioselinum chinense","Conioselinum","","chinense",NA,NA,"","","kew-2734099",TRUE,"1.1","Accepted","Apiaceae","Conioselinum","","chinense","","","(L.) Britton, Sterns & Poggenb.","kew-2734099","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conioselinum scopulorum","Conioselinum","","scopulorum",NA,NA,"","","kew-2734135",TRUE,"1.1","Accepted","Apiaceae","Conioselinum","","scopulorum","","","(A.Gray) J.M.Coult. & Rose","kew-2734135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conioselinum tataricum","Conioselinum","","tataricum",NA,NA,"","","kew-2734140",TRUE,"1.1","Synonym","Apiaceae","Conioselinum","","vaginatum","","","(Spreng.) Thell.","kew-2734144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conioselinum vaginatum","Conioselinum","","vaginatum",NA,NA,"","","kew-2734144",TRUE,"1.1","Accepted","Apiaceae","Conioselinum","","vaginatum","","","(Spreng.) Thell.","kew-2734144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conium chaerophylloides","Conium","","chaerophylloides",NA,NA,"","","kew-2734154",TRUE,"1.1","Accepted","Apiaceae","Conium","","chaerophylloides","","","(Thunb.) Eckl. & Zeyh.","kew-2734154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conium divaricatum","Conium","","divaricatum",NA,NA,"","","kew-2734158",TRUE,"1.1","Synonym","Apiaceae","Conium","","maculatum","","","L.","kew-2734165","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conium fontanum","Conium","","fontanum",NA,NA,"","","kew-2734160",TRUE,"1.1","Accepted","Apiaceae","Conium","","fontanum","","","Hilliard & B.L.Burtt","kew-2734160","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conium maculatum","Conium","","maculatum",NA,NA,"","","kew-2734165",TRUE,"1.1","Accepted","Apiaceae","Conium","","maculatum","","","L.","kew-2734165","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus championii","Connarus","","championii",NA,NA,"","","kew-2734234",TRUE,"1.1","Accepted","Connaraceae","Connarus","","championii","","","Thwaites","kew-2734234","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus cochinchinensis","Connarus","","cochinchinensis",NA,NA,"","","kew-2734235",TRUE,"1.1","Accepted","Connaraceae","Connarus","","cochinchinensis","","","(Baill.) Pierre","kew-2734235","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus conchocarpus","Connarus","","conchocarpus",NA,NA,"","","kew-2734236",TRUE,"1.1","Accepted","Connaraceae","Connarus","","conchocarpus","","","F.Muell.","kew-2734236","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus fasciculatus","Connarus","","fasciculatus",NA,NA,"","","kew-2734270",TRUE,"1.1","Accepted","Connaraceae","Connarus","","fasciculatus","","","(DC.) Planch.","kew-2734270","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus panamensis","Connarus","","panamensis",NA,NA,"","","kew-2734380",TRUE,"1.1","Accepted","Connaraceae","Connarus","","panamensis","","","Griseb.","kew-2734380","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus paniculatus","Connarus","","paniculatus",NA,NA,"","","kew-2734382",TRUE,"1.1","Accepted","Connaraceae","Connarus","","paniculatus","","","Roxb.","kew-2734382","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connarus turczaninowii","Connarus","","turczaninowii",NA,NA,"","","kew-2734469",TRUE,"1.1","Accepted","Connaraceae","Connarus","","turczaninowii","","","Triana & Planch.","kew-2734469","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connellia nutans","Connellia","","nutans",NA,NA,"","","kew-234311",TRUE,"1.1","Accepted","Bromeliaceae","Connellia","","nutans","","","L.B.Sm.","kew-234311","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connellia quelchii","Connellia","","quelchii",NA,NA,"","","kew-234312",TRUE,"1.1","Accepted","Bromeliaceae","Connellia","","quelchii","","","N.E.Br.","kew-234312","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Connorochloa tenuis","Connorochloa","","tenuis",NA,NA,"","","",FALSE,"1.1","","","Connorochloa","","tenuis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Conobea multifida","Conobea","","multifida",NA,NA,"","","kew-2734499",TRUE,"1.1","Synonym","Plantaginaceae","Leucospora","","multifida","","","(Michx.) Nutt.","kew-2497686","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocalyx laxus","Conocalyx","","laxus",NA,NA,"","","kew-2734512",TRUE,"1.1","Accepted","Acanthaceae","Conocalyx","","laxus","","","Benoist","kew-2734512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocarpus erectus","Conocarpus","","erectus",NA,NA,"","","kew-2734516",TRUE,"1.1","Accepted","Combretaceae","Conocarpus","","erectus","","","L.","kew-2734516","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocarpus lancifolius","Conocarpus","","lancifolius",NA,NA,"","","kew-2734524",TRUE,"1.1","Accepted","Combretaceae","Conocarpus","","lancifolius","","","Engl.","kew-2734524","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocarpus sericeus","Conocarpus","","sericeus",NA,NA,"","","kew-2734536",TRUE,"1.1","Synonym","Combretaceae","Conocarpus","","erectus","","","L.","kew-2734516","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocephalum conicum","Conocephalum","","conicum",NA,NA,"","","tro-35185073",TRUE,"1.1","Accepted","Conocephalaceae","Conocephalum","","conicum","","","(L.) Underw.","tro-35185073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocephalum japonicum","Conocephalum","","japonicum",NA,NA,"","","tro-35200546",TRUE,"1.1","Accepted","Conocephalaceae","Conocephalum","","japonicum","","","(Thunb.) Grolle","tro-35200546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocephalum salebrosum","Conocephalum","","salebrosum",NA,NA,"","","tro-35216419",TRUE,"1.1","Accepted","Conocephalaceae","Conocephalum","","salebrosum","","","Szweyk., Buczkowska & Odrzykoski","tro-35216419","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conocephalum supradecompositum","Conocephalum","","supradecompositum",NA,NA,"","","tro-35188163",TRUE,"1.1","Unresolved","Conocephalaceae","Conocephalum","","supradecompositum","","","Stephani","tro-35188163","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Conocliniopsis prasiifolia","Conocliniopsis","","prasiifolia",NA,NA,"","","gcc-19563",TRUE,"1.1","Accepted","Compositae","Conocliniopsis","","prasiifolia","","","(DC.) R.M.King & H.Rob.","gcc-19563","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conoclinium coelestinum","Conoclinium","","coelestinum",NA,NA,"","","gcc-124992",TRUE,"1.1","Accepted","Compositae","Conoclinium","","coelestinum","","","(L.) DC.","gcc-124992","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conomitra linearis","Conomitra","","linearis",NA,NA,"","","kew-2734609",TRUE,"1.1","Accepted","Apocynaceae","Conomitra","","linearis","","","Fenzl","kew-2734609","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopholis alpina","Conopholis","","alpina",NA,NA,"","","kew-2734704",TRUE,"1.1","Accepted","Orobanchaceae","Conopholis","","alpina","","","Liebm.","kew-2734704","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopholis americana","Conopholis","","americana",NA,NA,"","","tro-23600073",TRUE,"1.1","Accepted","Orobanchaceae","Conopholis","","americana","","","(L.) Wallr.","tro-23600073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum bilobum","Conophytum","","bilobum",NA,NA,"","","kew-2734790",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","bilobum","","","(Marloth) N.E.Br.","kew-2734790","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum bruynsii","Conophytum","","bruynsii",NA,NA,"","","kew-2734809",TRUE,"1.1","Unresolved","Aizoaceae","Conophytum","","bruynsii","","","S.A.Hammer","kew-2734809","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Conophytum calculus","Conophytum","","calculus",NA,NA,"","","kew-2734812",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","calculus","","","(Berger) N.E.Br.","kew-2734812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum friedrichiae","Conophytum","","friedrichiae",NA,NA,"","","kew-2734918",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","friedrichiae","","","(Dinter) Schwantes","kew-2734918","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum herreanthus","Conophytum","","herreanthus",NA,NA,"","","kew-2734945",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","herreanthus","","","S.A.Hammer","kew-2734945","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum limpidum","Conophytum","","limpidum",NA,NA,"","","kew-2735002",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","limpidum","","","S.A.Hammer","kew-2735002","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum lithopsoides","Conophytum","","lithopsoides",NA,NA,"","","",FALSE,"1.1","","","Conophytum","","lithopsoides",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Conophytum maughanii","Conophytum","","maughanii",NA,NA,"","","kew-2735030",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","maughanii","","","N.E.Br.","kew-2735030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum minusculum","Conophytum","","minusculum",NA,NA,"","","kew-2735045",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","minusculum","","","(N.E.Br.) N.E.Br.","kew-2735045","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conophytum subfenestratum","Conophytum","","subfenestratum",NA,NA,"","","kew-2735253",TRUE,"1.1","Accepted","Aizoaceae","Conophytum","","subfenestratum","","","Schwantes","kew-2735253","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium arvense","Conopodium","","arvense",NA,NA,"","","kew-2735339",TRUE,"1.1","Accepted","Apiaceae","Conopodium","","arvense","","","(Coss.) Calest.","kew-2735339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium bourgaei","Conopodium","","bourgaei",NA,NA,"","","kew-2735344",TRUE,"1.1","Synonym","Apiaceae","Conopodium","","pyrenaeum","","","(Loisel.) Miégev.","kew-2735398","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium capnoides","Conopodium","","capnoides",NA,NA,"","","kew-2735361",TRUE,"1.1","Synonym","Apiaceae","Chaerophyllum","","capnoides","","","(Decne.) Benth. ex C.B.Clarke","kew-2714206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium glaberrimum","Conopodium","","glaberrimum",NA,NA,"","","kew-2735373",TRUE,"1.1","Accepted","Apiaceae","Conopodium","","glaberrimum","","","(Desf.) Engstrand.","kew-2735373","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium majus","Conopodium","","majus",NA,NA,"","","kew-2735379",TRUE,"1.1","Accepted","Apiaceae","Conopodium","","majus","","","(Gouan) Loret","kew-2735379","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conopodium ramosum","Conopodium","","ramosum",NA,NA,"","","kew-2735400",TRUE,"1.1","Synonym","Apiaceae","Conopodium","","arvense","","","(Coss.) Calest.","kew-2735339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conospermum longifolium","Conospermum","","longifolium",NA,NA,"","","kew-2735503",TRUE,"1.1","Accepted","Proteaceae","Conospermum","","longifolium","","","Sm.","kew-2735503","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conospermum mitchellii","Conospermum","","mitchellii",NA,NA,"","","kew-2735512",TRUE,"1.1","Accepted","Proteaceae","Conospermum","","mitchellii","","","Meisn.","kew-2735512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conospermum taxifolium","Conospermum","","taxifolium",NA,NA,"","","kew-2735544",TRUE,"1.1","Accepted","Proteaceae","Conospermum","","taxifolium","","","C.F.Gaertn.","kew-2735544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conospermum wycherleyi","Conospermum","","wycherleyi",NA,NA,"","","kew-2735562",TRUE,"1.1","Accepted","Proteaceae","Conospermum","","wycherleyi","","","E.M.Benn.","kew-2735562","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia affinis","Conostegia","","affinis",NA,NA,"","","tro-50188244",TRUE,"1.1","Unresolved","Melastomataceae","Conostegia","","affinis","","","Urban","tro-50188244","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Conostegia bernoulliana","Conostegia","","bernoulliana",NA,NA,"","","tro-20300555",TRUE,"1.1","Synonym","Melastomataceae","Conostegia","","icosandra","","","(Sw. ex Wikstr.) Urb.","tro-20300071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia bigibbosa","Conostegia","","bigibbosa",NA,NA,"","","tro-50108948",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","bigibbosa","","","Cogn.","tro-50108948","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia bracteata","Conostegia","","bracteata",NA,NA,"","","tro-20302640",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","bracteata","","","Triana","tro-20302640","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia brenesii","Conostegia","","brenesii",NA,NA,"","","tro-20305367",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","brenesii","","","Standl.","tro-20305367","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia caelestis","Conostegia","","caelestis",NA,NA,"","","tro-20303305",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","caelestis","","","Standl.","tro-20303305","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia cinnamomea","Conostegia","","cinnamomea",NA,NA,"","","tro-20302642",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","cinnamomea","","","(Beurl.) Wurdack","tro-20302642","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia cuatrecasii","Conostegia","","cuatrecasii",NA,NA,"","","tro-20304424",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","cuatrecasii","","","Gleason","tro-20304424","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia extinctoria","Conostegia","","extinctoria",NA,NA,"","","tro-20300557",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","extinctoria","","","(Bonpl.) D. Don ex DC.","tro-20300557","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia icosandra","Conostegia","","icosandra",NA,NA,"","","tro-20300071",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","icosandra","","","(Sw. ex Wikstr.) Urb.","tro-20300071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia jaliscana","Conostegia","","jaliscana",NA,NA,"","","tro-50054737",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","jaliscana","","","Standl.","tro-50054737","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conostegia lasiopoda","Conostegia","","lasiopoda",NA,NA,"","","tro-20303929",TRUE,"1.1","Accepted","Melastomataceae","Conostegia","","lasiopoda","","","Benth.","tro-20303929","Accepted",FALSE,FALSE,FALSE,2017-05-11
